orderCode,lane,customer,pickZipCode,dropZipCode,startMarket,endMarket,shipmentStatus,revenue,cost,profit,deliveredDate
"P-162894-2608","CMH → ORD","Aritzia (United States of Aritzia)","43125","60106","CMH","ORD","Complete",952,820,132,"2026-03-25"
"P-85743-2612","SFO → SFO","Gopuff (Bevmo!)","94806","94403","SFO","SFO","Complete",180,101.39,78.61,"2026-03-25"
"P-85381-2612","SFO → SFO","Gopuff (Bevmo!)","94806","94403","SFO","SFO","Complete",65,50.69,14.31,"2026-03-25"
"P-72866-2612","ORD → MCI","DoorDash","60131","66067","ORD","MCI","Complete",295,825,-530,"2026-03-25"
"P-69612-2612","IAD → ORF","Back to the Roots, Inc","22079","23509","IAD","ORF","Complete",559.61,320.95,238.66,"2026-03-25"
"P-71965-2612","MSP → ORD","DoorDash","55379","60131","MSP","ORD","Complete",280,379.8,-99.8,"2026-03-25"
"P-71311-2612","MSP → ORD","DoorDash","55112","60131","MSP","ORD","Complete",220,370.2,-150.2,"2026-03-25"
"P-166859-2608","CMH → SFO","Aritzia (United States of Aritzia)","43125","95131","CMH","SFO","Complete",4675,5157.11,-482.11,"2026-03-25"
"P-130348-2612","IAD → RIC","Back to the Roots, Inc","22079","23841","IAD","RIC","Complete",306,194.85,111.15,"2026-03-25"
"P-104615-2612","BDL → ALB","Back to the Roots, Inc","06114","12306","BDL","ALB","Complete",202,127.75,74.25,"2026-03-25"
"P-72086-2612","IAD → BWI","Back to the Roots, Inc","22079","21632","IAD","BWI","Complete",168,132.36,35.64,"2026-03-25"
"P-132389-2612","","Back to the Roots, Inc","73135","74836","OKC","","Complete",371.36,191.46,179.9,"2026-03-25"
"P-93382-2612","LAX → PHX","Worldwide Express","91702","85335","LAX","PHX","Complete",185,191.82,-6.82,"2026-03-25"
"P-194827-2612","STL → STL","SmartKargo","63134","63146","STL","STL","Complete",225,285,-60,"2026-03-25"
"P-39141-2612","DFW → ATL","Priority1","75220","30101","DFW","ATL","Complete",191.95,184.48,7.47,"2026-03-25"
"P-194779-2612","IND → IND","SmartKargo","46241","46219","IND","IND","Complete",137.08,105,32.08,"2026-03-25"
"P-195468-2612","LAX → LAX","Parsel, Inc","90021","90040","LAX","LAX","Complete",95,60,35,"2026-03-25"
"P-69643-2612","IAD → RIC","Back to the Roots, Inc","22079","23838","IAD","RIC","Complete",276,183.15,92.85,"2026-03-25"
"P-84375-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","10007","07201","EWR","EWR","Complete",30,16.98,13.02,"2026-03-25"
"P-84211-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","11215","07201","EWR","EWR","Complete",30,17.15,12.85,"2026-03-25"
"P-84111-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","11105","07201","EWR","EWR","Complete",30,41.26,-11.26,"2026-03-25"
"P-84036-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","11205","07201","EWR","EWR","Complete",30,22.62,7.38,"2026-03-25"
"P-83853-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","11215","07201","EWR","EWR","Complete",30,22.81,7.19,"2026-03-25"
"P-84415-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","11101","07201","EWR","EWR","Complete",30,34.21,-4.21,"2026-03-25"
"P-83952-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","11249","07201","EWR","EWR","Complete",30,56.54,-26.54,"2026-03-25"
"P-84153-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","11106","07201","EWR","EWR","Complete",30,29.55,0.45,"2026-03-25"
"P-84191-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","11211","07201","EWR","EWR","Complete",30,11.31,18.69,"2026-03-25"
"P-84179-2612","EWR → EWR","Free Flow Direct Logistics (Keg Returns)","10309","07201","EWR","EWR","Complete",30,22.58,7.42,"2026-03-25"
"P-105258-2612","IND → SDF","Back to the Roots, Inc","46241","40207","IND","SDF","Complete",173.32,152.88,20.44,"2026-03-25"
"P-70609-2612","","Back to the Roots, Inc","38141","38670","MEM","","Complete",119,100.72,18.28,"2026-03-25"
"P-40924-2612","EWR → IAD","Jollibee Foods Corporation - East","07631","20151","EWR","IAD","Complete",215,583.45,-368.45,"2026-03-25"
"P-129573-2612","","Back to the Roots, Inc","75050","76449","DFW","","Complete",329.16,220,109.16,"2026-03-25"
"P-194797-2612","IAH → IAH","SmartKargo","77338","77041","IAH","IAH","Complete",132,100,32,"2026-03-25"
"P-132736-2612","SAT → AUS","Back to the Roots, Inc","78218","78628","SAT","AUS","Complete",555.62,192.99,362.62,"2026-03-25"
"P-33416-2612","","Back to the Roots, Inc","06114","12526","BDL","","Complete",137,117.83,19.17,"2026-03-25"
"P-104377-2612","","Back to the Roots, Inc","75050","76864","DFW","","Complete",227,138,89,"2026-03-25"
"P-129135-2612","BNA → MEM","Back to the Roots, Inc","37217","38320","BNA","MEM","Complete",297.14,191.25,105.89,"2026-03-25"
"P-99457-2612","PIT → CLE","Back to the Roots, Inc","15086","44052","PIT","CLE","Complete",223,110.9,112.1,"2026-03-25"
"P-161358-2610","IAD → RIC","Back to the Roots, Inc","22079","23226","IAD","RIC","Complete",247.34,512.8,-265.46,"2026-03-25"
"P-117535-2612","SLC → BOI","Worldwide Express","84087","83616","SLC","BOI","Complete",210,193.85,16.15,"2026-03-25"
"P-72876-2612","BDL → ALB","Back to the Roots, Inc","06114","12534","BDL","ALB","Complete",142,114.73,27.27,"2026-03-25"
"P-99409-2612","PIT → CLE","Back to the Roots, Inc","15086","44122","PIT","CLE","Complete",182,103.36,78.64,"2026-03-25"
"P-50703-2612","EWR → EWR","Linemart","07981","11361","EWR","EWR","Complete",112.15,108.75,3.4,"2026-03-25"
"P-36982-2612","EWR → BWI","Jollibee Foods Corporation - East","07631","20902","EWR","BWI","Complete",195,315.27,-120.27,"2026-03-25"
"P-197071-2612","","Back to the Roots, Inc","","07036","","EWR","Complete",0,0,0,"2026-03-25"
"P-104167-2612","BNA → HSV","Back to the Roots, Inc","37217","35805","BNA","HSV","Complete",225.64,142.75,82.89,"2026-03-25"
"P-132297-2612","OKC → OKC","Back to the Roots, Inc","73135","73010","OKC","OKC","Complete",119.65,38.54,81.11,"2026-03-25"
"P-132589-2612","SEA → SEA","Back to the Roots, Inc","98001","98374","SEA","SEA","Complete",118.14,144.36,-26.22,"2026-03-25"
"P-104764-2612","MEM → MEM","Back to the Roots, Inc","38141","38671","MEM","MEM","Complete",113.52,84.68,28.84,"2026-03-25"
"P-132496-2612","","Back to the Roots, Inc","75050","75495","DFW","","Complete",106,59.47,46.53,"2026-03-25"
"P-0080-2611","LAX → EWR","Francis Retail","90670","11050","LAX","EWR","Complete",1201.34,805.61,395.74,"2026-03-25"
"P-112656-2611","MSP → EWR","Priority1","55013","10027","MSP","EWR","Complete",333.88,345.05,-11.17,"2026-03-25"
"P-198457-2612","","Back to the Roots, Inc","","97222","","PDX","Complete",0,0,0,"2026-03-25"
"P-71261-2612","DTW → ORD","DoorDash","48239","60131","DTW","ORD","Complete",215,575,-360,"2026-03-25"
"P-102791-2612","IND → CVG","Back to the Roots, Inc","46241","47025","IND","CVG","Complete",174.95,148.8,26.15,"2026-03-25"
"P-118451-2612","DEN → DEN","Pentonix Freight","80615","80138","DEN","DEN","Complete",145.76,140.12,5.64,"2026-03-25"
"P-0051-2612","PHX → PHX","Back to the Roots, Inc","85353","85284","PHX","PHX","Complete",349.4,168.92,180.48,"2026-03-25"
"P-168402-2612","ATL → ATL","S2 International LLC","30058","30329","ATL","ATL","Complete",141.49,64.49,77,"2026-03-25"
"P-150144-2611","ORD → EWR","GLB Trucking LLC dba GLB Solutions","60185","11514","ORD","EWR","Complete",423.49,339.94,83.54,"2026-03-25"
"P-196333-2612","","Back to the Roots, Inc","","22079","","IAD","Complete",0,0,0,"2026-03-25"
"P-135065-2611","LAX → EWR","Priority1","91702","08873","LAX","EWR","Complete",419.74,409.72,10.02,"2026-03-25"
