zip3_route,pickup_zip5,dropoff_zip5,pickup_airport_code,dropoff_airport_code,min_competitor_rate,competitor_carrier_name,min_warp_rate,pct_difference
015-070,01545,07008,BOS,EWR,187.81,XPO,,
070-070,07094,07094,EWR,EWR,150.15,A. Duie Pyle,147.0,-2.1
070-074,07047,07470,EWR,EWR,137.17,XPO,154.0,12.27
070-076,07047,07631,EWR,EWR,168.65,WARD Trucking,157.0,-6.91
070-077,07008,07712,EWR,EWR,166.88,XPO,145.0,-13.11
070-080,07008,08003,EWR,PHL,165.31,WARD Trucking,167.0,1.02
070-085,07036,08512,EWR,EWR,166.33,A. Duie Pyle,129.0,-22.44
070-088,07001,08817,EWR,EWR,153.08,A. Duie Pyle,115.0,-24.88
070-100,07094,10001,EWR,JFK,219.82,FedEx Priority,149.0,-32.22
070-109,07008,10923,EWR,SWF,180.83,WARD Trucking,165.0,-8.76
070-112,07072,11232,EWR,JFK,229.57,A. Duie Pyle,154.0,-32.92
070-113,07016,11378,EWR,JFK,229.57,A. Duie Pyle,136.0,-40.76
070-114,07004,11434,EWR,JFK,229.57,A. Duie Pyle,162.0,-29.43
070-115,07047,11590,EWR,JFK,213.93,Daylight Transport,182.0,-14.93
070-117,07036,11735,EWR,JFK,240.89,Old Dominion Freight Line,179.0,-25.69
070-180,07014,18062,EWR,ABE,160.94,WARD Trucking,174.0,8.12
070-190,07092,19007,EWR,PHL,155.79,WARD Trucking,137.0,-12.06
070-191,07047,19154,EWR,PHL,155.79,WARD Trucking,164.0,5.27
070-194,07036,19446,EWR,PHL,156.33,WARD Trucking,155.0,-0.85
070-197,07008,19711,EWR,PHL,173.01,WARD Trucking,204.0,17.91
070-200,07008,20007,EWR,IAD,201.85,Forward,242.8,20.29
070-201,07026,20166,EWR,IAD,200.85,FedEx Priority,256.8,27.86
070-207,07032,20748,EWR,BWI,170.22,WARD Trucking,379.0,122.65
070-208,07008,20852,EWR,BWI,170.22,WARD Trucking,373.0,119.12
070-210,07036,21075,EWR,BWI,161.8,WARD Trucking,353.0,118.17
070-212,07047,21244,EWR,BWI,161.8,WARD Trucking,365.0,125.58
070-221,07072,22191,EWR,IAD,177.8,WARD Trucking,254.8,43.31
070-275,07036,27502,EWR,RDU,194.03,WARD Trucking,226.8,16.89
070-282,07008,28273,EWR,CLT,209.43,WARD Trucking,198.8,-5.07
070-300,07026,30043,EWR,ATL,235.18,XPO,229.8,-2.29
070-302,07068,30297,EWR,ATL,243.41,FedEx Economy,209.8,-13.81
070-303,07064,30301,EWR,ATL,230.54,XPO,202.8,-12.03
070-328,07064,32801,EWR,MCO,261.27,Specialized Freight Carriers,237.2,-9.21
070-330,07032,33018,EWR,MIA,215.23,Specialized Freight Carriers,255.6,18.76
070-331,07047,33126,EWR,MIA,215.23,Specialized Freight Carriers,266.6,23.87
070-333,07064,33301,EWR,MIA,215.23,Specialized Freight Carriers,255.6,18.76
070-334,07064,33432,EWR,MIA,215.23,Specialized Freight Carriers,271.6,26.19
070-336,07064,33610,EWR,TPA,261.27,Specialized Freight Carriers,242.6,-7.14
070-430,07001,43015,EWR,CMH,170.45,WARD Trucking,233.44,36.95
070-432,07064,43230,EWR,CMH,170.45,WARD Trucking,214.44,25.81
070-462,07008,46202,EWR,IND,200.79,WARD Trucking,193.0,-3.88
070-600,07036,60007,EWR,ORD,186.78,WARD Trucking,214.2,14.68
