orderCode,warpId,mainShipment,lane,legType,shipmentStatus,accessorialType,pickLocationName,pickCity,pickState,dropLocationName,dropCity,dropState,pickZipCode,dropZipCode,startMarket,endMarket,rawRevenue,correctedRevenue,rawCost,correctedCost,correction,deliveredDate
"P-158668-2531","S-718367","NO","ATL → ATL","first_mile","Canceled","","Swing Technology","Acworth","GA","ACCL-ATL","Forest Park","GA","30101","30297","ATL","ATL",0,6.91,110.92,81.03,"Rev + Cost","2026-01-26"
"P-41228-2553","S-1139491","NO","ATL → DFW","line_haul","Canceled","","ACCL-ATL","Forest Park","GA","ACCL-DFW","Grand Prairie","TX","30297","75050","ATL","DFW",41.82,41.82,0,0,"—","2026-01-04"
"P-44449-2553","S-1139891","NO","ATL → EWR","line_haul","Canceled","","ACCL-ATL","Forest Park","GA","ACCL-EWR","Elizabeth","NJ","30297","07206","ATL","EWR",64.88,64.88,0,0,"—","2026-01-05"
"P-13754-2601","S-1141748","NO","CMH → PHX","first_mile","Canceled","","ARITZIA C/O DHL SUPPLY CHAIN","Groveport","OH","WTCH-PHX-1","Tolleson","AZ","43125","85353","CMH","PHX",0,0,0,1829.42,"Cost","2026-01-07"
"P-13479-2602","S-1155216","NO","EWR → EWR","first_mile","Canceled","","Dmc compressor NJ","Linden","NJ","WTCH-EWR-4","Linden","NJ","07036","07036","EWR","EWR",0,0,0,2.93,"Cost","2026-01-08"
"P-13716-2602","S-1155248","NO","EWR → EWR","first_mile","Canceled","","Dmc compressor NJ","Linden","NJ","WTCH-EWR-4","Linden","NJ","07036","07036","EWR","EWR",0,0,0,2.93,"Cost","2026-01-08"
"P-15593-2602","S-1155490","NO","IAH → IAH","first_mile","Canceled","","ELOGISTEKdock#51","Katy","TX","ACCL-IAH","Houston","TX","77494","77032","IAH","IAH",0,0,0,63.02,"Cost","2026-01-11"
"P-32428-2602","S-1157413","NO","LAX → LAX","first_mile","Canceled","","GLOBAL TRINITY TRADING, INC","Garden Grove","CA","WTCH-LAX-9","Los Angeles","CA","92841","90021","LAX","LAX",0,0,42.19,42.19,"—","2026-01-09"
"P-128082-2602","S-1169450","NO","SFO → LAX","first_mile","Canceled","","Seko Logistics","Oakland","CA","WTCH-LAX-9","Los Angeles","CA","94606","90021","SFO","LAX",0,0,0,0,"—","2026-01-14"
"P-97019-2603","S-1181917","NO","LAX → LAX","line_haul","Canceled","","Test - Do Not Dispatch_z-lax","Los Angeles","CA","Test-WTCH-SFO-1","Los Angeles","CA","91602","90028","LAX","LAX",0,0,0,0,"—","2026-01-20"
"P-88723-2602","S-1164269","NO","LAX → LAX","direct","Canceled","","Doordash LAX-11","Vernon","CA","Petco","Mira Loma","CA","90058","91752","LAX","LAX",0,125,0,79.42,"Rev + Cost","2026-01-22"
"P-89039-2602","S-1164301","NO","ATL → ATL","direct","Canceled","","AEO_GA","Atlanta","GA","DoorDash ATL-13","Lithia Springs","GA","30349","30122","ATL","ATL",0,125,0,0,"Rev","2026-01-22"
"P-103469-2603","S-1182799","NO","IAD → IAD","final_mile","Canceled","","ACCL-IAD","Sterling","VA","Ana Loloei","Vienna","VA","20166","22180","IAD","IAD",0,0,0,0,"—","2026-01-27"
"P-90431-2604","S-1196505","NO","CLT → CLT","first_mile","Canceled","","ROSENBERG USA","Indian Trail","NC","WTCH-CLT-1","Charlotte","NC","28079","28273","CLT","CLT",0,0,17.01,58.31,"Cost","2026-01-18"
"P-113573-2602","S-1167465","NO","LAX → LAX","direct","Canceled","","Doordash LAX-11","Vernon","CA","Techstyle","Perris","CA","90058","92571","LAX","LAX",0,125,0,156.99,"Rev + Cost","2026-01-29"
"P-109009-2604","S-1199148","NO","CMH → CMH","line_haul","Canceled","","DNU-WTCH-CMH-2","Columbus","OH","WTCH-CMH-3","Columbus","OH","43228","43228","CMH","CMH",0,517.07,0,0,"Rev","2026-01-29"
"P-87963-2603","S-1180780","NO","ORD → ORD","direct","Canceled","","Doordash FPK-1","Franklin Park","IL","Best Buy","Bolingbrook","IL","60131","60490","ORD","ORD",0,175,0,82.5,"Rev + Cost","2026-02-05"
"P-115349-2605","S-1219076","NO","SAT → AUS","final_mile","Canceled","","WTCH-SAT-2","San Antonio","TX","ztestDO","Austin","TX","78218","78744","SAT","AUS",0,0,0,0,"—","2026-02-05"
"P-88082-2606","S-1235848","NO","ATL → ATL","first_mile","Canceled","","Able Market Supply","Forest Park","GA","WTCH-ATL-5","Forest Park","GA","30297","30297","ATL","ATL",0,107.5,52.74,3.72,"Rev + Cost","2026-02-10"
"P-79233-2607","S-1323825","NO","DFW → ATL","line_haul","Canceled","","ACCL-DFW","Grand Prairie","TX","ACCL-ATL","Forest Park","GA","75050","30297","DFW","ATL",0,0,0,0,"—","2026-03-11"
"P-104578-2607","S-1254589","NO","EWR → EWR","first_mile","Canceled","","BIDKHome","Cold Spring","NY","ACCL-EWR","Elizabeth","NJ","10516","07206","EWR","EWR",0,0,0,0,"—","2026-02-18"
"P-18959-2607","S-1243551","NO","CVG → CVG","first_mile","Canceled","","Deco Marche","Erlanger","KY","ACCL-CVG","Erlanger","KY","41018","41018","CVG","CVG",0,0,0,0,"—","2026-02-12"
"P-128664-2607","S-1257817","NO","ORD → ORD","first_mile","Canceled","","Eagle Instruments","Schaumburg","IL","ACCL-ORD","Bensenville","IL","60193","60106","ORD","ORD",0,0,0,0,"—","2026-02-18"
"P-87579-2607","S-1252267","NO","EWR → MIA","first_mile","Canceled","","GOPUFF DC1","Cherry Hill","NJ","WTCH-MIA-2","Miami Gardens","FL","08003","33055","EWR","MIA",0,0,0,0,"—","2026-02-21"
"P-47161-2607","S-1270771","NO","LAX → DFW","line_haul","Canceled","","WTCH-LAX-9","Los Angeles","CA","WTCH-DFW-4","Grand Prairie","TX","90021","75050","LAX","DFW",0,49.25,0,0,"Rev","2026-02-20"
"P-101906-2608","S-1268748","NO","CLT → MIA","line_haul","Canceled","","ACCL-CLT","Charlotte","NC","ACCL-MIA","Doral","FL","28208","33126","CLT","MIA",0,0,0,0,"—","2026-02-26"
"P-20891-2608","S-1259301","NO","SMF → LAX","direct","Canceled","","Doordash SAC-5","Elk Grove","CA","Doordash LAX-11","Vernon","CA","95624","90058","SMF","LAX",0,62.5,178.01,178.01,"Rev","2026-02-25"
"P-211513-2608","S-1285515","NO","SFO → SFO","first_mile","Canceled","","STONE AND TILE SHOPPE","San Lorenzo","CA","WTCH-SFO-1","San Jose","CA","94580","95131","SFO","SFO",0,0,0,0,"—","2026-02-25"
"P-47161-2607","S-1270794","NO","DFW → DFW","line_haul","Canceled","","WTCH-DFW-4","Grand Prairie","TX","ACCL-DFW","Grand Prairie","TX","75050","75050","DFW","DFW",0,0.02,0,0,"Rev","2026-02-23"
"P-92588-2609","S-1295941","NO","EWR → MCI","line_haul","Canceled","","MAERSK-EWR","Elizabeth","NJ","MAERSK-MCI","Kansas City","MO","07206","64153","EWR","MCI",0,0,0,43.06,"Cost","2026-03-09"
"P-124355-2609","S-1300335","NO","MIA → ORD","line_haul","Canceled","","ACCL-MIA","Doral","FL","ACCL-ORD","Bensenville","IL","33126","60106","MIA","ORD",0,0,0,0,"—","2026-03-06"
"P-124515-2609","S-1300358","NO","ORD → MCO","line_haul","Canceled","","ACCL-ORD","Bensenville","IL","ACCL-MCO","Orlando","FL","60106","32809","ORD","MCO",21.8,21.8,0,0,"—","2026-03-05"
"P-133697-2609","S-1301566","NO","MIA → SAT","line_haul","Canceled","","ACCL-MIA","Doral","FL","ACCL-SAT","Schertz","TX","33126","78154","MIA","SAT",0,109.26,0,0,"Rev","2026-03-09"
"P-62301-2609","S-1292178","NO","EWR → MCO","line_haul","Canceled","","ACCL-EWR","Elizabeth","NJ","ACCL-MCO","Orlando","FL","07206","32809","EWR","MCO",0,0,0,58.27,"Cost","2026-03-07"
"P-142729-2609","S-1302880","NO","MIA → MIA","first_mile","Canceled","","SCHEER USA DIST.","Coconut Creek","FL","ACCL-MIA","Doral","FL","33073","33126","MIA","MIA",0,0,0,54.99,"Cost","2026-03-09"
"P-18597-2610","S-1304084","NO","MIA → MIA","first_mile","Canceled","","SCHEER USA DIST.","Coconut Creek","FL","ACCL-MIA","Doral","FL","33073","33126","MIA","MIA",0,0,54.85,54.99,"Cost","2026-03-09"
"P-31677-2610","S-1309797","NO","DFW → GSP","line_haul","Canceled","","ACCL-DFW","Grand Prairie","TX","ACCL-GSP","Wellford","SC","75050","29385","DFW","GSP",0,0,0,0,"—","2026-03-11"
"P-59802-2609","S-1291872","NO","DFW → BNA","line_haul","Canceled","","ACCL-DFW","Grand Prairie","TX","ACCL-BNA","Nashville","TN","75050","37217","DFW","BNA",0,0,0,0,"—","2026-03-11"
"P-28468-2610","S-1305368","NO","ORD → ORD","first_mile","Canceled","","Jason Industrial & Megadyne","Carol Stream","IL","ACCL-ORD","Bensenville","IL","60188","60106","ORD","ORD",0,0,0,0,"—","2026-03-06"
"P-141241-2609","S-1302669","NO","DFW → HSV","line_haul","Canceled","","ACCL-DFW","Grand Prairie","TX","ACCL-HSV","Madison","AL","75050","35758","DFW","HSV",0,0,0,0,"—","2026-03-12"
"P-123699-2610","S-1317700","NO","LAX → LAX","first_mile","Canceled","","SILK ROAD GREENHOUSE","Phelan","CA","WTCH-LAX-9","Los Angeles","CA","92371","90021","LAX","LAX",0,406,0,0,"Rev","2026-03-10"
"P-87605-2610","S-1312698","NO","ATL → EWR","line_haul","Canceled","","ACCL-ATL","Forest Park","GA","ACCL-EWR","Elizabeth","NJ","30297","07206","ATL","EWR",0,256.43,0,0,"Rev","2026-03-11"
"P-48185-2611","S-1330658","NO","EWR → MIA","first_mile","Canceled","","GOPUFF DC1","Cherry Hill","NJ","WTCH-MIA-4","Fort Lauderdale","FL","08003","33312","EWR","MIA",0,0,0,0,"—","2026-03-18"
"P-64354-2611","S-1330939","NO","MIA → ATL","line_haul","Canceled","","ACCL-MIA","Doral","FL","ACCL-ATL","Forest Park","GA","33126","30297","MIA","ATL",0,0,0,0,"—","2026-03-20"
"P-26354-2612","S-1343981","NO","DFW → BHM","line_haul","Canceled","","ACCL-DFW","Grand Prairie","TX","ACCL-BHM","Birmingham","AL","75050","35215","DFW","BHM",69.27,69.27,0,0,"—","2026-03-23"
"P-29009-2612","S-1344283","NO","DFW → MIA","line_haul","Canceled","","ACCL-DFW","Grand Prairie","TX","ACCL-MIA","Doral","FL","75050","33126","DFW","MIA",218.22,218.22,0,0,"—","2026-03-23"
"P-0042-2611","S-1368035","NO","LAX → EWR","line_haul","Complete","","WTCH-LAX-9","Los Angeles","CA","WTCH-EWR-4","Linden","NJ","90021","07036","LAX","EWR",115.94,373.7,273.65,273.65,"Rev","2026-03-25"
