Origin 3-Digit,Dest 3-Digit,Origin Zip,Dest Zip,Lane Volume,Warp Rate,Cheapest Non-Warp Rate,Cheapest Non-Warp Carrier
606,941,60606,94103,12589,$442.59,$445.43,WARD Trucking
917,917,91761,91730,8404,$144.73,$125.52,GlovaLink
950,750,95002,75001,8120,$491.99,$388.8,Mountain Valley Express
331,331,33166,33182,6490,$133.52,$152.45,AAA COOPER TRANSPORTATION
906,917,90670,91730,6016,$130.94,$125.52,GlovaLink
930,917,93010,91730,5485,$144.55,$156.24,GlovaLink
770,770,77041,77020,3964,$130.64,$140.22,Vocar Transportation
917,331,91761,33178,3953,$406.48,$448.04,XPO Logistics
86,917,8638,91730,3860,$558.48,$423.11,STG LTL formerly Frontline Freight
601,605,60118,60502,3675,$130.64,$121.8,TAX AIRFREIGHT
917,900,91752,90040,3553,$139.63,$125.52,GlovaLink
770,331,77041,33182,3340,$238.14,$372.56,Forward
917,770,91752,77055,3329,$408.5,$320.89,XPO Logistics
917,945,91761,94538,3175,$272.19,$282.06,AAA COOPER TRANSPORTATION
917,891,91752,89120,3166,$265.88,$203.58,Mountain Valley Express
917,750,91748,75074,3133,$396.4,$354.54,XPO Logistics
900,917,90058,91730,2904,$138.44,$125.52,GlovaLink
917,840,91761,84043,2655,$300.94,$311.59,AAA COOPER TRANSPORTATION
70,70,7094,7094,2582,$130.64,$167.21,JP Express
330,331,33025,33178,2464,$126.02,$152.45,AAA COOPER TRANSPORTATION
917,852,91748,85254,2457,$236.64,$231.08,Mountain Valley Express
917,980,91752,98002,2336,$261.85,$426.8,Forward Air
774,750,77477,75006,2316,$198.99,$164.94,SOUTHWESTERN MOTOR TRANSPORT INC
917,850,91752,85031,2278,$245.63,$231.08,Mountain Valley Express
917,88,91752,8831,2268,$454.86,$474.95,STG LTL formerly Frontline Freight
770,750,77064,75002,2215,$188.44,$161.15,SOUTHWESTERN MOTOR TRANSPORT INC
601,601,60185,60185,2196,$130.64,$121.8,TAX AIRFREIGHT
917,300,91752,30043,2164,$403.75,$367.76,XPO Logistics
70,331,7026,33178,2138,$268.04,$315.42,Forward
86,333,8638,33317,2011,$287.96,$271.01,Specialized Freight Carriers
917,921,91761,92154,1944,,$156.24,GlovaLink
601,331,60123,33178,1938,$238.14,$275.02,Forward
917,920,91761,92064,1937,,$156.24,GlovaLink
917,605,91761,60502,1919,$325.89,$339.04,XPO Logistics
917,601,91745,60144,1849,$312.4,$341.71,XPO Logistics
917,958,91752,95828,1844,$270.5,$266.29,Mountain Valley Express
761,331,76140,33166,1839,$238.14,$398.1,Forward Air
917,841,91761,84104,1836,$294.81,$298.4,AAA COOPER TRANSPORTATION
917,761,91748,76119,1812,$394.89,$367.61,Forward
917,774,91761,77449,1746,$410.19,$302.45,XPO Logistics
917,70,91761,7047,1742,$453.53,$474.95,STG LTL formerly Frontline Freight
604,601,60446,60106,1716,$136.87,$121.8,TAX AIRFREIGHT
923,917,92337,91730,1697,$144.55,$125.52,GlovaLink
606,331,60601,33132,1657,$238.14,$428.18,WARD Trucking
917,923,91761,92337,1639,$148.39,$125.52,GlovaLink
750,770,75041,77036,1635,$238.99,$159.52,SOUTHWESTERN MOTOR TRANSPORT INC
601,600,60185,60090,1634,$130.64,$121.8,TAX AIRFREIGHT
923,900,92345,90040,1621,$179.72,$188.46,Mountain Valley Express
906,333,90670,33317,1617,$398.82,$411.95,XPO Logistics
917,802,91761,80239,1609,$320.34,$383.82,XPO Logistics
917,902,91710,90221,1588,$139.81,$125.52,GlovaLink
917,328,91748,32824,1568,$385.22,$397.63,Forward
917,330,91761,33014,1565,$406.48,$417.17,XPO Logistics
300,331,30004,33182,1565,$248.99,$238.93,AAA COOPER TRANSPORTATION
600,331,60007,33182,1527,$245.64,$346.3,Forward Air
923,923,92337,92337,1520,$148.21,$125.52,GlovaLink
917,333,91761,33317,1517,$412.61,$445.06,XPO Logistics
900,900,90045,90045,1515,$133.52,$125.52,GlovaLink
331,940,33122,94043,1492,$501.07,$481.13,STG LTL formerly Frontline Freight
891,917,89115,91730,1480,$260.66,$196.52,Mountain Valley Express
923,331,92337,33178,1446,$406.3,$474.95,STG LTL formerly Frontline Freight
917,925,91761,92571,1426,$160.21,$125.52,GlovaLink
917,752,91748,75241,1395,$394.89,$354.54,XPO Logistics
900,331,90015,33166,1375,$400.19,$474.95,STG LTL formerly Frontline Freight
917,913,91761,91311,1364,$145.94,$125.52,GlovaLink
88,88,8810,8831,1360,$143,$167.21,JP Express
88,70,8837,7047,1324,$138.14,$167.21,JP Express
331,900,33122,90010,1306,$394.78,$410.08,STG LTL formerly Frontline Freight
902,917,90220,91730,1298,$138.44,$125.52,GlovaLink
917,853,91761,85326,1288,$250.73,$245.51,TOTAL TRANSPORTATION DISTRIBUTION
338,331,33811,33166,1284,$214.56,$157.94,Specialized Freight Carriers
297,902,29707,90210,1281,$363.36,$491.81,XPO Logistics
770,782,77029,78219,1260,$223.52,$164.83,SOUTHWESTERN MOTOR TRANSPORT INC
917,782,91748,78219,1257,$390.27,$368.46,XPO Logistics
900,850,90058,85043,1248,$239.52,$228.66,Forward
917,926,91761,92627,1222,$144.73,$125.52,GlovaLink
70,112,7072,11232,1216,$130.64,$167.21,JP Express
750,774,75006,77477,1216,$229.65,$159.52,SOUTHWESTERN MOTOR TRANSPORT INC
906,900,90670,90040,1203,$126.02,$125.52,GlovaLink
88,331,8817,33172,1202,$268.04,$271.01,Specialized Freight Carriers
302,331,30297,33178,1190,$238.14,$269.87,AAA COOPER TRANSPORTATION
774,331,77494,33182,1179,$251.93,$385.88,AAA COOPER TRANSPORTATION
917,972,91752,97230,1175,$261.85,$335.26,Forward
906,331,90670,33166,1175,$392.69,$436.24,XPO Logistics
917,981,91761,98134,1173,$266.65,$358.94,Forward
70,88,7026,8831,1154,$132.15,$167.21,JP Express
770,752,77029,75212,1146,$183.52,$164.94,SOUTHWESTERN MOTOR TRANSPORT INC
328,331,32809,33182,1146,$200.79,$157.94,Specialized Freight Carriers
70,100,7036,10007,1145,$138.14,$251.21,JP Express
86,761,8638,76119,1133,$278.98,$318.41,XPO Logistics
917,951,91748,95131,1125,$257.19,$264.05,XPO Logistics
770,775,77029,77598,1119,$132.15,$192.67,AAA COOPER TRANSPORTATION
917,462,91748,46219,1118,$342.0,$318.46,XPO Logistics
70,117,7036,11779,1110,$153.92,$167.21,JP Express
88,112,8817,11214,1104,$130.64,$167.21,JP Express
917,907,91761,90706,1103,$144.43,$125.52,GlovaLink
334,331,33401,33182,1102,$179.72,$157.94,Specialized Freight Carriers
917,606,91761,60616,1099,$325.89,$334.58,XPO Logistics
917,600,91761,60007,1093,$321.27,$373.3,XPO Logistics
917,928,91730,92806,1091,$145.94,$125.52,GlovaLink
906,605,90660,60502,1086,$319.6,$435.04,R&L Carriers
750,331,75063,33182,1081,$238.14,$356.24,Forward
917,604,91761,60490,1063,$327.4,$304.08,XPO Logistics
530,331,53022,33182,1052,$268.04,$362.84,XPO Logistics
531,331,53142,33122,1041,$278.89,$340.02,R&L Carriers
770,773,77029,77357,1040,$130.64,$140.22,Vocar Transportation
70,180,7094,18031,1039,$169.83,$167.21,JP Express
923,850,92337,85001,1021,$245.63,$231.08,Mountain Valley Express
70,917,7016,91730,1011,$552.19,$423.11,STG LTL formerly Frontline Freight
917,112,91761,11220,1006,$453.53,$544.39,STG LTL formerly Frontline Freight
600,600,60007,60007,1005,$133.52,$121.8,TAX AIRFREIGHT
799,331,79936,33126,998,$268.04,$242.02,AAA COOPER TRANSPORTATION
770,786,77029,78664,995,$223.52,$156.28,Vocar Transportation
945,945,94544,94544,985,$130.64,$168.3,Mountain Valley Express
917,334,91761,33442,984,$411.4,$417.17,XPO Logistics
917,890,91761,89011,984,$270.68,$203.58,Mountain Valley Express
272,917,27263,91730,980,$375.78,$391.86,STG LTL formerly Frontline Freight
917,117,91748,11735,977,$443.7,$548.09,STG LTL formerly Frontline Freight
770,917,77033,91730,954,$410.14,$370.2,XPO Logistics
917,956,91761,95688,952,$270.98,$263.14,Mountain Valley Express
906,750,90670,75001,946,$394.89,$363.24,XPO Logistics
333,331,33315,33178,942,$136.87,$157.94,Specialized Freight Carriers
917,940,91761,94080,940,$266.06,$273.34,Forward
600,601,60007,60101,939,$133.52,$121.8,TAX AIRFREIGHT
906,770,90670,77036,935,$394.89,$293.63,XPO Logistics
917,336,91752,33603,931,$406.3,$474.95,STG LTL formerly Frontline Freight
750,750,75050,75050,929,$133.52,$132.84,Vocar Transportation
917,786,91730,78610,927,$408.98,$368.46,XPO Logistics
770,774,77071,77477,922,$143,$140.22,Vocar Transportation
301,331,30144,33172,913,$238.14,$320.93,Forward
554,902,55414,90210,904,$442.62,$478.6,Forward Air
774,770,77477,77020,902,$141.49,$140.22,Vocar Transportation
906,945,90670,94545,901,$256.89,$283.5,AAA COOPER TRANSPORTATION
770,761,77047,76119,900,$198.99,$157.34,Forward Air
917,800,91761,80020,899,$320.34,$347.59,XPO Logistics
751,770,75134,77055,899,$228.14,$159.52,SOUTHWESTERN MOTOR TRANSPORT INC
917,113,91761,11378,893,$453.53,$544.39,STG LTL formerly Frontline Freight
923,958,92345,95828,891,$310.59,$266.29,Mountain Valley Express
900,180,90058,18031,888,$486.43,$477.07,STG LTL formerly Frontline Freight
902,902,90220,90220,887,$133.52,$125.52,GlovaLink
902,331,90220,33178,886,$400.19,$441.42,XPO Logistics
900,902,90040,90221,884,$133.52,$125.52,GlovaLink
917,302,91748,30213,881,$389.84,$400.16,XPO Logistics
86,113,8638,11378,864,$144.43,$167.21,JP Express
331,334,33178,33431,864,$142.1,$157.94,Specialized Freight Carriers
900,401,90058,40165,862,$356.97,$372.76,XPO Logistics
917,857,91752,85756,861,$318.51,$255.98,Mountain Valley Express
917,799,91748,79924,854,$421.25,$225.26,Forward
331,770,33126,77084,852,$257.74,$257.46,Forward Air
923,70,92337,7064,851,$448.73,$474.95,STG LTL formerly Frontline Freight
331,330,33142,33064,849,$138.44,$157.94,Specialized Freight Carriers
282,331,28273,33182,846,$238.17,$258.73,XPO Logistics
917,982,91761,98258,844,$270.61,$442.51,FedEx Economy
88,113,8810,11378,841,$141.49,$167.21,JP Express
906,891,90670,89118,832,$252.27,$203.58,Mountain Valley Express
331,328,33166,32824,831,$200.79,$157.94,Specialized Freight Carriers
917,773,91761,77375,828,$408.68,$356.12,XPO Logistics
925,917,92507,91730,828,$167.27,$125.52,GlovaLink
907,917,90745,91730,824,$130.94,$125.52,GlovaLink
88,201,8861,20166,814,$266.72,$240.12,XPO Logistics
917,846,91761,84660,809,$303.39,$336.9,FedEx Economy
775,770,77507,77020,805,$141.49,$140.22,Vocar Transportation
923,770,92345,77055,805,$448.59,$304.08,XPO Logistics
928,331,92806,33182,803,$403.54,$474.95,STG LTL formerly Frontline Freight
601,462,60172,46219,795,$197.94,$172.87,DAYTON FREIGHT LINES INC
917,970,91761,97062,792,$262.03,$417.41,Forward Air
917,760,91761,76051,792,$408.68,$368.46,XPO Logistics
601,606,60106,60639,786,$133.52,$121.8,TAX AIRFREIGHT
331,917,33147,91730,783,$399.7,$410.08,STG LTL formerly Frontline Freight
85,88,8520,8831,777,$143,$167.21,JP Express
917,787,91761,78744,776,$410.19,$368.46,XPO Logistics
601,604,60106,60446,774,$139.65,$121.8,TAX AIRFREIGHT
775,331,77507,33182,772,$248.99,$245.76,AAA COOPER TRANSPORTATION
88,117,8817,11735,763,$134.6,$167.21,JP Express
917,303,91761,30336,756,$399.01,$356.28,XPO Logistics
